agent_name,agent_url,logo_url,logo_path,source,last_updated
Return to the Sheffield Hallam University homepage,https://international-agents.shu.ac.uk/,,,https://international-agents.shu.ac.uk/,2026-06-02
International Office Home,https://www.shu.ac.uk/international,,,https://international-agents.shu.ac.uk/,2026-06-02
Life in Sheffield,https://www.shu.ac.uk/study-here/sheffield-guide,,,https://international-agents.shu.ac.uk/,2026-06-02
About the University,https://www.shu.ac.uk/about-us,,,https://international-agents.shu.ac.uk/,2026-06-02
Courses and tuition fees,https://www.shu.ac.uk/study-here,,,https://international-agents.shu.ac.uk/,2026-06-02
International student support,https://www.shu.ac.uk/international/international-experience-team,,,https://international-agents.shu.ac.uk/,2026-06-02
On your arrival,https://www.shu.ac.uk/international/international-experience-team/pre-arrival-and-visa-information,,,https://international-agents.shu.ac.uk/,2026-06-02
Exchanges and study abroad,https://www.shu.ac.uk/international/exchanges-and-study-abroad-programmes,,,https://international-agents.shu.ac.uk/,2026-06-02
Partner institutions,https://www.shu.ac.uk/international/global-partnerships,,,https://international-agents.shu.ac.uk/,2026-06-02
British Council Office,https://www.britishcouncil.org/home/home-contact/home-contact-worldwide.htm,,,https://international-agents.shu.ac.uk/,2026-06-02
Privacy Policy,https://www.shu.ac.uk/about/privacy.html,,,https://international-agents.shu.ac.uk/,2026-06-02
Freedom of information,https://www.shu.ac.uk/about/foi/,,,https://international-agents.shu.ac.uk/,2026-06-02
Feedback,https://www.shu.ac.uk/contact/,,,https://international-agents.shu.ac.uk/,2026-06-02
Accessibility,https://www.shu.ac.uk/about/access.html,,,https://international-agents.shu.ac.uk/,2026-06-02
Sitemap,https://www.shu.ac.uk/sitemap/,,,https://international-agents.shu.ac.uk/,2026-06-02
Legal information,https://www.shu.ac.uk/about/legal.html,,,https://international-agents.shu.ac.uk/,2026-06-02
Return to the Sheffield Hallam University homepage,https://www.shu.ac.uk,,,https://international-agents.shu.ac.uk/,2026-06-02
more,https://www.shu.ac.uk/about-this-website/how-we-use-cookies,,,https://international-agents.shu.ac.uk/,2026-06-02
Goldsmiths - University of London,https://www.gold.ac.uk/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Search,https://www.gold.ac.uk/search-results/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Study,https://www.gold.ac.uk/study,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Course finder,https://www.gold.ac.uk/course-finder,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
International,https://www.gold.ac.uk/international,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Courses,https://www.gold.ac.uk/course-finder,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
About Goldsmiths,https://www.gold.ac.uk/about/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Study with us,https://www.gold.ac.uk/study/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Research,https://www.gold.ac.uk/research/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Business and partnerships,https://www.gold.ac.uk/business/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
For the local community,https://www.gold.ac.uk/community/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Faculties and Schools,https://www.gold.ac.uk/schools/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
News and features,https://www.gold.ac.uk/news/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Events,https://www.gold.ac.uk/events/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Give to Goldsmiths,https://www.gold.ac.uk/giving-to-goldsmiths/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Students,https://www.gold.ac.uk/students/,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
