agent_name,agent_url,emails,phones,logo_url,logo_path,source,last_updated
International Office Home,https://www.shu.ac.uk/international,,+44 (0)114 225 5555; 711390045,https://www.shu.ac.uk/dist/img/logo-shu.svg,logos\9d609d27b3.svg,https://international-agents.shu.ac.uk/,2026-06-02
International student support,https://www.shu.ac.uk/international/international-experience-team,,+44 (0)114 225 5555,https://www.shu.ac.uk/dist/img/logo-shu.svg,logos\9d609d27b3.svg,https://international-agents.shu.ac.uk/,2026-06-02
Exchanges and study abroad,https://www.shu.ac.uk/international/exchanges-and-study-abroad-programmes,,+44 (0)114 225 5555,https://www.shu.ac.uk/dist/img/logo-shu.svg,logos\9d609d27b3.svg,https://international-agents.shu.ac.uk/,2026-06-02
Study,https://www.gold.ac.uk/study,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
International,https://www.gold.ac.uk/international,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Study with us,https://www.gold.ac.uk/study/,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Study,https://www.gold.ac.uk/study/,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
International,https://www.gold.ac.uk/international/,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Study Abroad,https://www.gold.ac.uk/studyabroad/,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Erasmus and International Exchange,https://www.gold.ac.uk/international-exchange-programmes/,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Information for agents,https://www.gold.ac.uk/international/representatives/,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
Agent representation Form,https://www.gold.ac.uk/international/representatives/agent-representation-form/,int-agents@gold.ac.uk,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.studyin-uk.com,http://www.studyin-uk.com/,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.studyin-uk.com,http://www.studyin-uk.com,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.studynet-group.com,https://studynet-group.com/,edu@studynet-group.com,+994) 12 310 00 23; +994 12 310 00 23; +994 55 918 93 93,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.globalstudyuk.com,https://www.globalstudyuk.com/,,07519266,https://www.globalstudyuk.com/wp-content/uploads/2025/10/GlobalStudyUK-Logo.svg,logos\dd1e3cf8e2.svg,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
inovaeducation.com/country/chile/,https://www.inovaeducation.com/country/chile/,,,https://www.inovaeducation.com/wp-content/uploads/2019/10/Inova_Logo_RGB.png,logos\a86c999c7b.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.hope-studyabroad.com/en,https://www.hope-studyabroad.com/en,,021-33634525; 025-84721289; 021-37667419; 0574-27866260; 1245 968 493; 7305 020013; 021-37667418; 4009669601; 2026-04-28 70; 021-54252961; 2026-04-13 77; 0571-85774162; 0571-86918491,https://www.hope-studyabroad.com/public/images/logo.jpg?v=2020082501,logos\bf5fa394e5.jpg,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.maseducation.org,http://www.maseducation.org,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.studyexperience.fr,http://www.studyexperience.fr,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.education.com.hk,http://www.education.com.hk,,,http://www.education.com.hk/img/logo.png,logos\7d76108600.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.foreign-study.com,http://www.foreign-study.com/,premnkapur@foreignstudy.co.in,098100 70867,"https://static.wixstatic.com/media/83660c_627e5bc8e82b4951ac78f8343b287f5a~mv2.png/v1/fill/w_160,h_47,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/83660c_627e5bc8e82b4951ac78f8343b287f5a~mv2.png",logos\176a06ecab.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.educationoverseas.com/index.php,https://www.educationoverseas.com/index.php,,+91-9810005111; +91-98100-05111,https://educationoverseas.com/wp-content/uploads/2023/12/2-min-removebg-preview-removebg-preview.png,logos\48d1dbcec1.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.educationlinkhouse.com,http://www.educationlinkhouse.com,info@educationlinkhouse.com,09899195747; 011-45304530; 09625951717; 08897314820; 08874799462; 47-10 34 35; 08096547878,http://www.educationlinkhouse.com/images/EduLnk2.png,logos\f857e9f054.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.suneducationgroup.com,http://www.suneducationgroup.com/,info@suneducationgroup.com,+62 82133343536,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.jteducation.com,http://www.jteducation.com/,uk@jteducation.com,2018-08-31; 2018-07-15; 86648642; 2016-2024; 2018-08-12; 2018-07-09; 2021-03-31; 2018-09-20; 2016-2026; 2022-03-31; 2018-09-05; 2016-2023,http://www.jteducation.com/template/default/images/logo.png,logos\2d5c5d05db.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.studyplan.lt/en,https://studyplan.lt/en/,admin@studyplan.lt,+370 600 543 50,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.augstudy.com/malaysia,http://www.augstudy.com/malaysia,,,,,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.inovaeducation.com,http://www.inovaeducation.com/,,,https://www.inovaeducation.com/wp-content/uploads/2019/10/Inova_Logo_RGB.png,logos\a86c999c7b.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.studyacrossthepond.com,http://www.studyacrossthepond.com,,,http://www.studyacrossthepond.com/sites/default/files/highres-atp-logo.webp,logos\bb2d86395e.webp,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.globalstudyuk.com,http://www.globalstudyuk.com,,07519266,https://www.globalstudyuk.com/wp-content/uploads/2025/10/GlobalStudyUK-Logo.svg,logos\dd1e3cf8e2.svg,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
www.uk-education-centre.com,http://www.uk-education-centre.com,admissions@ukec.com,+44 161 236 0660,https://www.uk-education-centre.com/wp-content/themes/ukec/images/ukec-logo-full.svg,logos\0fb180ce26.svg,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
inovaeducation.com/country/peru/,https://www.inovaeducation.com/country/peru/,,,https://www.inovaeducation.com/wp-content/uploads/2019/10/Inova_Logo_RGB.png,logos\a86c999c7b.png,https://www.gold.ac.uk/international/representatives/list/,2026-06-02
