university,country_name,country_page,agent_name,agency_group,website,emails,phones,countries_supported,cities_supported,services,notes,source_url,last_updated
Sheffield Hallam University,United Kingdom,https://international-agents.shu.ac.uk/,Recruitment Agents International Office,AI Extracted,https://international-agents.shu.ac.uk/,['international@shu.ac.uk'],[],[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']",Recruitment Agents International Office Home Life in Sheffield About the University Courses and tuition fees International student support On your arrival Exchanges and study abroad Partner institutio,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,United Kingdom,https://international-agents.shu.ac.uk/,International Office Home Life,AI Extracted,https://international-agents.shu.ac.uk/,['international@shu.ac.uk'],[],[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']",International Office Home Life in Sheffield About the University Courses and tuition fees International student support On your arrival Exchanges and study abroad Partner institutions Recruitment Agen,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,United Kingdom,https://international-agents.shu.ac.uk/,Recruitment Agents Sheffield Hallam,AI Extracted,https://international-agents.shu.ac.uk/,['international@shu.ac.uk'],[],[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']",Recruitment Agents Sheffield Hallam University works with education recruitment agents in the following countries. Please contact them directly if you would like to receive advice about studying with ,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,United Kingdom,https://international-agents.shu.ac.uk/,Recruitment Agents Sheffield Hallam,AI Extracted,https://international-agents.shu.ac.uk/,['international@shu.ac.uk'],[],[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']",Recruitment Agents Sheffield Hallam University works with education recruitment agents in the following countries. Please contact them directly if you would like to receive advice about studying with ,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,United Kingdom,https://international-agents.shu.ac.uk/,"Sheffield Hallam University, City",AI Extracted,https://international-agents.shu.ac.uk/,[],"['0114 225 5555', '0114 225 4449']",[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']","Sheffield Hallam University, City Campus, Howard Street, Sheffield S1 1WB Telephone 0114 225 5555 | Fax 0114 225 4449 Privacy Policy Freedom of information Feedback Accessibility Sitemap Legal informa",https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,United Kingdom,https://international-agents.shu.ac.uk/,"Sheffield Hallam University, City",AI Extracted,https://international-agents.shu.ac.uk/,[],"['0114 225 5555', '0114 225 4449']",[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']","Sheffield Hallam University, City Campus, Howard Street, Sheffield S1 1WB Telephone 0114 225 5555 | Fax 0114 225 4449",https://international-agents.shu.ac.uk/,2026-06-02
University of Essex,United Kingdom,https://www.essex.ac.uk/international/educational-representatives,URL: www.essex.ac.uk/international/educational-representativ,AI Extracted,https://www.essex.ac.uk/international/educational-representatives,[],['004722588822'],[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']",URL: www.essex.ac.uk/international/educational-representatives Client IP: 114.129.14.183 Attack ID: 20000051 Message ID: 004722588822 What happened? The page cannot be displayed. What can I do? Please,https://www.essex.ac.uk/international/educational-representatives,2026-06-02
University of Essex,United Kingdom,https://www.essex.ac.uk/international/educational-representatives,URL: www.essex.ac.uk/international/educational-representativ,AI Extracted,https://www.essex.ac.uk/international/educational-representatives,[],['004722588822'],[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']",URL: www.essex.ac.uk/international/educational-representatives Client IP: 114.129.14.183 Attack ID: 20000051 Message ID: 004722588822,https://www.essex.ac.uk/international/educational-representatives,2026-06-02
University of Essex,United Kingdom,https://www.essex.ac.uk/international/educational-representatives,URL: www.essex.ac.uk/international/educational-representativ,AI Extracted,https://www.essex.ac.uk/international/educational-representatives,[],['004722588822'],[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']",URL: www.essex.ac.uk/international/educational-representatives Client IP: 114.129.14.183 Attack ID: 20000051 Message ID: 004722588822,https://www.essex.ac.uk/international/educational-representatives,2026-06-02
Goldsmiths University of London,United Kingdom,https://www.gold.ac.uk/international/representatives/list/,to main content Goldsmiths,AI Extracted,https://www.gold.ac.uk/international/representatives/list/,"['colombia2@studiesplanet.com', 'kozhikode@studyin-uk.com', 'pune@studyin-uk.com', 'edu@studynet-group.com', 'edu@uvic.co.uk', 'chitwan@studyin-uk.com', 'ankara@studyin-uk.com', 'colombo@studyin-uk.com', 'ipcgulf@unidirection.com', 'indore@studyin-uk.com', 'info@crizac.com', 'info@elab.edu.pl', 'service@oxbridge.com.tw', 'baku@studyin-uk.com', 'app@globalstudyuk.com', 'shanghai@studyin-uk.cn', 'study@beo.jp', 'ask@win-ed.com', 'vadodara@studyin-uk.com', 'talk.lets2012@gmail.com', 'hello@iecformacion.com', 'info@combineco.com', 'almaty@studyin-uk.com', 'applications@taylors.edu.my', 'inquiry@globalcolliance.com', 'osaka@ukeducation.jp', 'nfo@studyin-uk.com', 'delhi@educationoverseas.com', 'jaipur@studyin-uk.com', 'index_china@agentsedu.com', 'changsha@studyin-uk.cn', 'jaffna@studyin-uk.com', 'pokhara@studyin-uk.com', 'izmir@studyin-uk.com', 'surabaya@studyin-uk.com', 'warsaw@studyin-uk.com', 'peshawar@studyin-uk.com', 'turkeyist@britisheducation.com.tr', 'islamabad@studyin-uk.com', 'info@edroots.in', 'tashkent@studyin-uk.com', 'kathmandu@studyin-uk.com', 'seoul@peopleloving.co.kr', 'admin@studyplan.lt', 'mombasa@studyin-uk.com', 'info@educationlinkhouse.com', 'info@loveuk.com.mx', 'enquiry@linkedu.hk', 'karachi@studyin-uk.com', 'info@studywithfm.com', 'uk@xdf.cn', 'bengaluru.jpnagar@studyin-uk.com', 'dubai@studyin-uk.com', 'info.hcm@handson-beo.vn', 'ukedu6@can-achieve.com', 'sahiwal@studyin-uk.com', 'lucknow@studyin-uk.com', 'integral@integral.bg', 'uol@ukecpakistan.com', 'bogota@studyin-uk.com', 'chennai@studyin-uk.com', 'ludhiana@studyin-uk.com', 'pratibha.eduabroad@gmail.com', 'educulturesby@yahoo.co.uk', 'twn@ukec.com', 'manoop@kcoverseas.com', 'uk@jteducation.com', 'marketing.uk@aoji.cn', 'brmchn@santamonicaedu.in', 'info@gradeup.com.br', 'phnompenh@si-global.com', 'info@tedvisory.com', 'jakarta@studyin-uk.com', 'info@hands-on.co.th', 'turkeyank@britisheducation.com.tr', 'nicosia@studyin-uk.com', 'portharcourt@studyin-uk.com', 'info@iaeglobal.net', 'dhaka@studyin-uk.com', 'accra@studyin-uk.com', 'halok@otenet.gr', 'ahmedabad@studyin-uk.com', 'uken@uken.kr', 'enquiries@aas.com.hk', 'delhi.rajourigarden@studyin-uk.com', 'bengaluru@studyin-uk.com', 'chiangmai@studyin-uk.com', 'goldenarrowks@ukpass.org', 'hezuo@51liucheng.com', 'daressalaam@studyin-uk.com', 'istanbul@studyin-uk.com', 'enquiry@chamberlain-edu.com', 'onitsha@studyin-uk.com', 'gurugram@studyin-uk.com', 'info@overseaseducation.sg', 'kaju@kajucp.com', 'chennai@geebeeworld.org', 'hongkong@get.com.hk', 'guangzhou@studyin-uk.cn', 'info@andvision.net', 'es@dongsuhyuhak.com', 'toronto@studyin-uk.com', 'riyadh@studyin-uk.com', 'mumbai@studyin-uk.com', 'turkeyizm@britisheducation.com.tr', 'mysuru@studyin-uk.com', '51offer@ihorizon.cn', 'info@studyabroad.sg', 'bj_ac1@amberedu.com', 'beijing@studyin-uk.cn', 'amritsar@studyin-uk.com', 'vijayawada@studyin-uk.com', 'tokyo@ukeducation.jp', 'nairobi@studyin-uk.com', 'info@uni-uk.com', 'hanoi@studyin-uk.com', 'bhubaneshwar@studyin-uk.com', 'info@studyacrossthepond.com', 'info@ceg-uk.com', 'casablanca@studyin-uk.com', 'hello@therightu.com', 'butwal@studyin-uk.com', 'smile@smilecampus.com', 'faisalabad@studyin-uk.com', 'abuja@studyin-uk.com', 'delhi.nehruplace@studyin-uk.com', 'denizli@studyin-uk.com', 'serviceuk12@jjl.cn', 'malaysia@augstudy.com', 'lagos@studyin-uk.com', 'info@globaladmissioncenter.com', 'kolkata@studyin-uk.com', 'admissions@ukec.com', 'mexico@studiesplanet.com', 'international@wisewayglobal.com', 'multan@studyin-uk.com', 'study@britishunited.net', 'taichung@global-vec.com', 'exnetinternational@gmail.com', 'malaysia@studyin-uk.com', 'noida@studyin-uk.com', 'edmundo@educativa.ro', 'cs@cskedu.co.kr', 'edUK@businesslink.com.ua', 'hongkong@studyin-uk.com', 'doha@studyin-uk.com', 'premnkapur@foreignstudy.co.in', 'chandigarh@studyin-uk.com', 'coimbatore@studyin-uk.com', 'lahore@studyin-uk.com', 'peru@studiesplanet.com', 'brasil@studiesplanet.com', 'alberta@studyin-uk.com', 'taipei@studyin-uk.com', 'kochi@studyin-uk.com', 'hochiminh@studyin-uk.com', 'info@education.com.hk', 'vientiane@studyin-uk.com', 'pristina@studyin-uk.com', 'hyderabad@studyin-uk.com', 'tapplication02@meridean.org', 'istanbul@edukas.com.tr', 'o.mirza@ern.com.pk', 'dubai@iqeducationconsultants.com', 'supportpune@bittrack.om', 'edu@poweracademy.cn', 'info@kalba.lt', 'nagpur@studyin-uk.com', 'info@suneducationgroup.com', 'atasehir@studyin-uk.com', 'rawalpindi@studyin-uk.com', 'info@gse.edu.vn', 'tirana@studyin-uk.com', 'uk.admission18@eiceducation.com.cn', 'info@successfactor.org', 'delhi@studyin-uk.com', 'rome@studyin-uk.com']","['86 010 65661010', '+91 9147104214', '+92 61 6211008', '+51) 926 877 306', '+91 22 4002 1206', '+91 9987870084', '+92 42 32332608', '+66 84 664 3559', '+66(0)2-635-5230', '+91 8882914694', '+66 (0)2-821-6877', '082133343536', '+57) 300 5729164', '+91 8977522961', '+55) 11 96623', '01223 346180', '+52 (55) 2539 4499', '+254 755688242', '+91 4040157110', '02037577200', '+994 12 408 23 03', '+234 9168348662', '+971 55 216 7587', '+91 8368662790', '+1 (403) 244 - 3809', '+91 7304687305', '+81 (0)6-4256-7161', '+91 8041688282', '021-33634525', '+86-21-51506887', '+91 8530746800', '+971 43868900', '852) 3426-8000', '+92 342 2227043', '80420-090', '+91 9318490733', '852-2110-3835', '+370 600 543 50', '1931744953', '+86-10-68946699', '+91 8130498884', '+91 9354937091', '02-566-9184', '+65 67376734', '+852 2157 3822', '+966 55 165 8370', '+66 (0)99-803-6569', '+92 42 37207108', '020 7424 7952', '+52) 55 3562 7881', '+90 312 426 31 33', '+84963049860', '+92 51 4264181', '01223-011', '+91 7314030677', '+81 (0)3-6427-9605', '+48 730 75 74 85', '+86 571 2886 2299', '+91 9310404716', '+855 (0)17663006', '+91 9315683896', '+357 22778700', '+91 2654612070', '+977 9802589313', '+82 2-588-3558', '+39 339706 6538', '+91 33 40037887', '+66 91 079 9303', '84453-80100', '+86 15721283391', '+57) 301 7707184', '3-4 34430', '+62 822 4555 5909', '021-35342947-49', '+66 (0)89-217-5454', '+254 780 450 642', '+85229678009', '+91 8882912263', '+91 9354844772', '+65 6333 1300', '+91-11-46784678', '+91 98100 70867', '+977 61-590052', '57 318 3499429', '+94 74 043 4321', '020 7383 2000', '+84988709698', '+44 1273 665200', '+48 22 364 44 66', '+255 677 500 800', '+977 056490130', '+62 81292339008', '+880 195 1221133', '+92 91 5840322', '+52 56 3951 5884', '38044) 494 2080', '+82 (0)2 595 5092', '26 - 34396', '86-021-32231071', '447754475500', '0091-712-2225999', '+91 9645222999', '+917574033366', '+60378861936', '01419-000', '+30 210 429 4344', '+90 232 425 2556', '+994 (055) 918 93 93', '852-2736-0036', '+90 212 401 41 90', '+81 (0)3 6871 9422', '+92 51 2722666', '+886 2 27556365', '+91 9381708282', '+91-11-45304530', '+886-4-23055785', '86 18911793599', '603-5629 5000', '+81-3-5577-4500', '+234 8082055733', '852) 2730 7311', '+86 13818109632', '+55 11 93063-7967', '+99894 003 03 66', '033) 3544-1515', '+380443317170', '+91 7827800569', '+91 7683064228', '7397410484', '+81 3 5272 9143', '+92 301 4434942', '+57 1 7186226', '+91 9986077782', '0094771215879', '+91 4224962282', '020-7287-7040', '+57 314 2152727', '+91 1142028200', '+86-010-59799010', '+91 9041454800', '+994 55 408 23 03', '+974 5076 0041', '+91 9972484782', '+60 3 5634 3767', '+44 (0) 207 284 7200', '+92 308 4591446', '+91 2048611079', '+91 7827800565', '+84)28 2200 0580', '+82 (0)2 2052 1221', '442 260 9090', '8610-65686524', '+92-51-2824754', '+91 81402 66649', '+977 15903980', '+886-2-2779-0801', '+92 308 1814264', '+1 416 998 8532', '+91 484 294 1333', '+60 3-7956 7655', '+91 7123583079', '+91 98101 11169', '+212 766971419', '+90 2129950735', '+91 1414011629', '+234 8104841013', '+86 13974886786', '+85229678199', '+852 6513 5719', '+38348441246', '+91 4445108282', '+44) 7557 27 11 71', '852) 2866 9933', '+99897 170 00 66', '+91 9267927292', '+91 8130498881', '80 50 600', '+91 7940391698', '+91 7400020527', '+234 9093279115', '+90 312 258 63 23', '+91 2249700446', '+92 40 4550137', '+971) 4 3911179', '+91 9310404714', '+85620 59829329', '+852 2272 2800', '+91-7802953247', '+34 91 579 2288', '4000-800-516', '+40 31 814 2920', '+233596041176', '1-855-580-2787', '+81 6 7878 5681', '+55 11 91837-1750', '8-610) 11009', '+91 9310404722', '+92 345 9036903', '+91 2247501768', '+91 7676008282', '+57) 311 4753505', '+91 8287256724', '+85620 59514229', '+66 2119 5140', '+98 9821-75292', '+4402074864762', '1900 7211', '+62 838 11141214', '+86 18819277774', '+92 041 8554200', '04534-000', '82-2-6248-3520', '+60 1-800-22-6628', '+977 15903981', '+8610-6522 9780', '+91 1146021091', '0212 335 64 25', '+355 67 400 5360', '097733 59609', '+91 9318490737', '+51 936 300 989']",[],[],"['course_selection', 'application_support', 'visa_guidance', 'counselling', 'scholarship_guidance']","skip to main content Goldsmiths - University of London Students, Staff and Alumni Search Students, Staff and Alumni Study Course finder International More Search Study Courses International More Searc",https://www.gold.ac.uk/international/representatives/list/,2026-06-02
