university,agent_name,emails,logo_url,logo_path,details,source,last_updated
Sheffield Hallam University,Recruitment Agents International Office Home,['international@shu.ac.uk'],https://international-agents.shu.ac.uk/Styles/images/shuLogo.png,logos\cdbd10e1a83e.png,Recruitment Agents International Office Home Life in Sheffield About the University Courses and tuition fees International student support On your arrival Exchanges and study abroad Partner institutio,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,International Office Home Life in,['international@shu.ac.uk'],,,International Office Home Life in Sheffield About the University Courses and tuition fees International student support On your arrival Exchanges and study abroad Partner institutions Recruitment Agen,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Recruitment Agents Sheffield Hallam University,['international@shu.ac.uk'],,,Recruitment Agents Sheffield Hallam University works with education recruitment agents in the following countries. Please contact them directly if you would like to receive advice about studying with ,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,LCI Group (Liu Cheng International,[],,,LCI Group (Liu Cheng International Group Ltd),https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,"Beijing Aus-Canada Education Consulting CO.,",[],,,"Beijing Aus-Canada Education Consulting CO., Ltd",https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Beijing New Oriental Vision Overseas,[],,,Beijing New Oriental Vision Overseas Consulting Co,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Changzhou Shiyan Study Abroad Information,[],,,Changzhou Shiyan Study Abroad Information Consultation Studio,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Education International Cooperation (EIC) Group,[],,,Education International Cooperation (EIC) Group Limited,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Huatong Xinnuo International Cultural Exchange,[],,,Huatong Xinnuo International Cultural Exchange Centre (IAE),https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,JJL International Education Exchange Promotion,[],,,JJL International Education Exchange Promotion Ltd,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,British Canadian International Education (BCIE),[],,,British Canadian International Education (BCIE),https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,IPC - International Placewell Consultants,[],,,IPC - International Placewell Consultants Pvt Ltd,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,"EDUCATION TOWER (TRADING AS BEO,",[],,,"EDUCATION TOWER (TRADING AS BEO, HANDS ON & HANDS ON-BEO)",https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Navita EDU for Academic Consultancy,[],,,Navita EDU for Academic Consultancy (Formerly Alshamlan EDU),https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Four Seas Tours & Marketing,[],,,Four Seas Tours & Marketing T/A Four Seas Education Services,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Inquota Education Services (IES) Sdn,[],,,Inquota Education Services (IES) Sdn Bhd,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Interstudy Education Consultants Sdn Bhd,[],,,Interstudy Education Consultants Sdn Bhd,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Silver Education Consultancy & Placement,[],,,Silver Education Consultancy & Placement,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Global Study Partners Pty Ltd,[],,,Global Study Partners Pty Ltd trading as upGrad GSP,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,International Education Services Pte Ltd,[],,,International Education Services Pte Ltd,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,SafeNet Education Consultancy & Services,[],,,SafeNet Education Consultancy & Services,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Assumpta Overseas Educational Services Ltd,[],,,Assumpta Overseas Educational Services Ltd,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Diptot International Education Consult Ltd,[],,,Diptot International Education Consult Ltd,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,Visagate Consulting (VGC) Int'l Education,[],,,Visagate Consulting (VGC) Int'l Education,https://international-agents.shu.ac.uk/,2026-06-02
Sheffield Hallam University,PASSEDU EDUCATION AND CONSULTANCY COMPANY,[],,,PASSEDU EDUCATION AND CONSULTANCY COMPANY LIMITED,https://international-agents.shu.ac.uk/,2026-06-02
University of Essex,URL: www.essex.ac.uk/international/educational-representatives Client IP: 114.129.14.183,[],,,URL: www.essex.ac.uk/international/educational-representatives Client IP: 114.129.14.183 Attack ID: 20000051 Message ID: 004724051566 What happened? The page cannot be displayed. What can I do? Please,https://www.essex.ac.uk/international/educational-representatives,2026-06-02
