country,agency_name,website,email,phone,address
Afghanistan,British Council Office,https://www.britishcouncil.org,,,
Afghanistan,International Sporting Solutions Ltd,https://www.internationalsportingsolutions.com,,,United Kingdom
Afghanistan,StudyIn,https://www.studyin-uk.com,,,
Afghanistan,Acceptix,https://www.acceptix.com,,,
Afghanistan,AHZ Associates,https://www.ahzassociates.com,info@ahzassociates.co.uk,,"London, United Kingdom"
Afghanistan,Crizac Ltd (Gateway Abroad),https://www.crizac.co.uk,,,United Kingdom
Afghanistan,Edvoy Educational Services Ltd.,https://www.edvoy.com,,,United Kingdom
Afghanistan,Global Study UK,https://www.globalstudyuk.com,,,
Afghanistan,AUG Study Services,https://www.aug.edu,,,
Afghanistan,LCI Group (Liu Cheng International Group Ltd),https://www.lcieducation.com,,,
Afghanistan,IDP Education (UK) Limited,https://www.idp.com,ukclientpartnerships@idp.com,+61-3-9612-4400,"69-79 Fulham High Street, London SW6 3JW, UK"
Afghanistan,AECC Global,https://www.aeccglobal.com,clientrelations@aeccglobal.com,+61-481739343,"20 Queen Street, Melbourne, Victoria 3000, Australia"
Afghanistan,IECC trading as Campora,https://www.campora.co.uk,,,
Afghanistan,KC Overseas Education Pvt. Ltd.,https://www.kcoverseas.com,,,
Afghanistan,Leap GeeBee Edtech Pvt. Ltd,https://www.geebee.com,,,
Afghanistan,QS StudentApply,https://www.qs.com,,,
Afghanistan,Amber Education Services Ltd,https://www.ambereducation.co.uk,,,
Afghanistan,Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,China
Afghanistan,InterGreat Education Group Ltd,https://www.intergreateducation.com,,,
Afghanistan,OxBridge Holdings Inc.,https://www.oxbridge.cn,,,China
Afghanistan,UKEC,https://www.ukec.com,,,
Afghanistan,Savvides Institute,https://www.savvides.com.cy,,,Cyprus
Afghanistan,British Canadian International Education (BCIE),https://www.bcieglobal.com,,,
Afghanistan,Aston Education,https://www.astonhongkong.com,info@aston.edu.hk,+852 2866 9933,"5th Floor, Office Plus @ Wanchai, 303 Hennessy Road, Wan Chai, Hong Kong"
Afghanistan,Edwise International LLP,https://www.edwiseinternational.com,,,
Afghanistan,IPC - International Placewell Consultants Pvt Ltd,https://www.ipcglobal.co.in,,,
Afghanistan,GoStudy International,https://www.gostudy.co.id,,,Indonesia
Afghanistan,ICAN Education,https://www.icaneducation.co.id,,,
Afghanistan,Uniserv Education,https://www.uniserv.co.ke,,,Kenya
Afghanistan,INTI Universal Holdings Sdn Bhd,https://www.inti.edu.my,,,"Nilai, Negeri Sembilan, Malaysia"
Afghanistan,MABECS,https://www.mabecs.com,,,
Afghanistan,Taylor's Malaysia Sdn Bhd,https://www.taylors.edu.my,,,"1 Jalan Taylor's, 47500 Subang Jaya, Selangor, Malaysia"
Afghanistan,Global Study Partners Pty Ltd trading as upGrad GSP,https://www.upgradgsp.com,,,Australia
Albania,British Council Office,https://www.britishcouncil.org,,,
Albania,International Sporting Solutions Ltd,https://www.internationalsportingsolutions.com,,,United Kingdom
Albania,StudyIn,https://www.studyin-uk.com,,,
