country,agency_name
Albania,First EDUMATE
Albania,Integral
Albania,StudyIn
Antigua and Barbuda,Beach Education LTD
Argentina,Academic Action
Argentina,Inova Education
Argentina,LAE
Argentina,Studies Planet
Australia,AECC Global
Australia,Expert Education and Visa Services
Australia,Global reach (AUS) PTY LTD
Australia,IDP UK aka IDP/ Hotcourses
Australia,Information Planet Pty Ltd
Australia,Jack Study Abroad
Australia,LAE International Education
Australia,StudyCo
Azerbaijan,Azeri Student
Azerbaijan,Baku City Academy
Azerbaijan,British Education Bureau
Azerbaijan,CELT Abroad LLC
Azerbaijan,Edumax
Azerbaijan,Human Capital Foundation Worldwide Education
Azerbaijan,IDP UK aka IDP/ Hotcourses
Azerbaijan,Star Abroad LLC
Azerbaijan,Studynet Group
Bahrain,Bridge International/Global Vision for Academic Services
Bahrain,Education Links
Bahrain,Education Zone (Edu Zone)
Bahrain,IDP UK aka IDP/ Hotcourses
Bahrain,JNS Education Consultant LTD
Bangladesh,AECC Global
Bangladesh,AHZ Associates
Bangladesh,ApplyBoard
Bangladesh,Crizac
Bangladesh,IDP UK aka IDP/ Hotcourses
Bangladesh,Indigo Consultancy
Bangladesh,Maces
Bangladesh,MIM Study Abroad
Bangladesh,Neuron Educare
Bangladesh,StudyCo
Bangladesh,StudyIn
Bangladesh,Westminster International
Barbados,Beach Education LTD
Belgium,Information Planet Pty Ltd
Belgium,Study Experience
Belgium,WEP
Belize,Academic Action
Bermuda,Beach Education LTD
Bermuda,Bridgeway Education
Bolivia,Academic Action
Bolivia,Inova Education
Bolivia,LAE
Brazil,Academic Action
Brazil,Gradeup
Brazil,Information Planet
Brazil,LAE International Education
Brazil,Studies Planet
Brazil,StudyCo
Brazil,Tie Break
British Virgin Islands,Beach Education LTD
Brunei,James Hon Marketing and Management
Bulgaria,Cool Travel
Bulgaria,Integral
Bulgaria,Stayline Sports
Bulgaria,The Student World
Cambodia,DS Overseas Education Consultant
Cambodia,IDP UK aka IDP/ Hotcourses
Cambodia,Springboard4Education
Cambodia,StudyIn
Canada,Across the Pond
Canada,ApplyBoard
Canada,Barclay Educational Services
Canada,Canada Law From Abroad
Canada,Information Planet Pty Ltd
Canada,StudyIn
Cayman Islands,Beach Education LTD
Chile,Academic Action
Chile,Inova Education
Chile,LAE International Education
Chile,Studies Planet
China,Amber Education
China,AUG Student Services
China,"Beijing Better Education and Technology Development Co., Ltd"
China,Beijing Bo Wen Tian Di Education & technology development co. LTD
China,Beijing Jiexie Wenyuan
China,Beijing Jintuolian Intl Edu Group
China,Beijing New Oriental Vision Overseas Cons. Co. Ltd
China,Beijing Shiji Fenghua
China,"Beijing Yulongshikong Education Technology Development Co., Ltd"
China,beo Tokyo
China,"BISU Education & Technology Co., Ltd"
China,Bright Can-Achieve Limited
China,CEMA
China,"Chengdu Bowen Guangji Education Consulting Co, Ltd."
China,China iEDU
China,"China Prospect Culture Exchange Co., LTD"
China,Chinese Service Center for Scholarly Exchange (CSCSE)
China,Crizac
China,Educom International Ltd.
China,EIC
China,Global Education Alliance (GEA)
China,Global Education Channel
China,Golden Arrow
China,Golden Education
China,Gostudy Education Institute
China,Hope Study Abroad
China,Hua Yi (China First)
China,Huatong Xinnuo Int'l Culture Exchange Center LTD
China,IDP UK aka IDP/ Hotcourses
China,iHorizon Consulting/51Offer
China,Index
China,JJL International Education Exchange Promotion Ltd
China,JM Education Group
China,Liu Cheng International Group Ltd Head office
China,ONE Education Bangkok
China,Peiyou International CO Limited
China,Power Academy
China,Ray Education
China,Shanghai Youyue Education Consultancy Ltd. (Peccn)
China,StudyCo
China,StudyIn
China,Total Education International (Beijing Tongtu)
China,UKEC China
China,Welink Education
China,Wiseway Global Co Ltd
China,Wuhan Zhengqi Education Consultancy
China,"Xiamen Xuezhou Education Technology Co., Ltd"
China,XSD Study Abroad
Colombia,Academic Action
Colombia,Inova Education
Colombia,LAE International Education
Colombia,MAS Education
Colombia,Studies Planet
Colombia,StudyIn
Colombia,The Broad Club
Colombia,Volemi SAS
Costa Rica,Academic Action
Costa Rica,Inova Education
Costa Rica,LAE International Education
Croatia,BHV Education
Croatia,Integral
Croatia,Study Abroad Advising Centre
Cuba,Academic Action
Cyprus,AA UNIlink Edu Services Ltd
Cyprus,Atlas
Cyprus,CRPC (Cyprus Recruitment and Placement Consultancy)
Cyprus,Educativa Group
Cyprus,Esolnet LTD (A & H Examsnet)
Cyprus,Photiades Education
Cyprus,Savvides Institute
Cyprus,StudyIn
Cyprus,Success ELT
Cyprus,TCS Educational Consultants
Czechia,Information Planet Pty Ltd
Czechia,Scandinavian Study
Czechia,Unilink
Dominica,Beach Education LTD
Dominican Republic,Academic Action
Dominican Republic,Inova Education
Dominican Republic,LAE
Ecuador,Academic Action
Ecuador,Inova Education
Ecuador,International Learning Center
Ecuador,LAE International Education
Egypt,AHZ Associates
Egypt,BESA Group – British Educational Services Group Limited
Egypt,Bridge International/Global Vision for Academic Services
Egypt,Crizac
Egypt,EDRES Educational Recruitment Services
Egypt,Education Basket
Egypt,Edulinx Education Ltd
Egypt,Emonovo
Egypt,Global Study UK
Egypt,IDP UK aka IDP/ Hotcourses
Egypt,StudyCo
Egypt,UniPal
El Salvador,Academic Action
El Salvador,LAE International Education
Estonia,Baltic Council
Estonia,Bellnor
Estonia,Dream Foundation
France,Chrismo Consulting & Training
France,ISPA HO.
France,Study Experience
France,WEP
Georgia,Azeri Student
Georgia,English Book
Georgia,Human Capital Foundation Worldwide Education
Germany,College Contact GmbH
Ghana,AHZ Associates
Ghana,ApplyBoard
Ghana,Crizac
Ghana,IDP UK aka IDP/ Hotcourses
Ghana,StudyIn
Ghana,TAG Ghana
Greece,AECC Global
Greece,CES Bureau of Counselling in Education & Services
Greece,Hellenic Anglo Learning Operations
Greece,Network Educational Services
Greece,Stepping Stone
Greece,UniBridge Study Abroad
Grenada,Beach Education LTD
Guatemala,Academic Action
Guatemala,Inova Education
Guatemala,LAE International Education
Honduras,Academic Action
Honduras,Inova Education
Honduras,LAE International Education
Hong Kong,AAS Education Consultancy
Hong Kong,Amber Education
Hong Kong,Aston Education
Hong Kong,AUG Student Services
Hong Kong,British United Education Services
Hong Kong,Crizac
Hong Kong,Cyclopes Limited
Hong Kong,Education Tower
Hong Kong,EIC
Hong Kong,Global Education Alliance (GEA)
Hong Kong,Hkies
Hong Kong,Hong Kong Education Web
Hong Kong,IDP UK aka IDP/ Hotcourses
Hong Kong,International Overseas Studies Center (IOSC)
Hong Kong,JM Education Group
Hong Kong,LinkedU Overseas Education
Hong Kong,Maple Overseas Education
Hong Kong,StudyIn
Hungary,Baltic Council
India,AA UNIlink Edu Services Ltd
India,Abroad Education Consultants
India,AECC Global
India,AHZ Associates
India,ApplyBoard
India,Azent Education
India,Edlogica
India,Edroots International
India,Education Matters
India,Edvoy (IEC Abroad)
India,Edwise
India,Fateh Education
India,Global Degrees
India,Global Opportunities Private Limited
India,Graduate Overseas
India,IDP UK aka IDP/ Hotcourses
India,Infinite Group
India,IPC
India,Kavi Trivedi Educonsultants
India,KC Overseas Education
India,Kings Cornerstone International College
India,Leap Geebee Edtech HQ
India,LEO Global Overseas
India,Leverage EDU
India,Liu Cheng International Group Ltd
India,Oberois Education Link
India,Overseas Education Centre (OEC)
India,Powerhouse Global Servicez LLC
India,Prem N Kapur Associates Pvt Ltd
India,QS Student Apply
India,Santa Monica Study Abroad
India,Shiksha
India,Silver Fern Education Consultants
India,StudyIn
India,TC Global
India,Universtree
India,UnizPortal
Indonesia,AECC Global
Indonesia,AUG Student Services
Indonesia,Crizac
Indonesia,Elsindo Consulting
Indonesia,IDP UK aka IDP/ Hotcourses
Indonesia,Jack Study Abroad
Indonesia,StudyCo
Indonesia,StudyIn
Indonesia,Sun Education Group
Iran,Elm Gostar Kaveh (David Game College)
Iran,IDP UK aka IDP/ Hotcourses
Iran,My Arman
Iran,Studies Planet
Iran,StudyIn
Iraq,British Education Bureau
Iraq,IGEC
Italy,Educonnection
Italy,Elab Education
Italy,LAE International Education
Italy,Tutor You
Italy,WEP
Japan,beo Tokyo
Japan,StudyIn
Jordan,Bridge International/Global Vision for Academic Services
Jordan,Elite International Education
Jordan,Gesco Amman
Jordan,Global Connections
Jordan,Golden Path for University Services
Jordan,IDP UK aka IDP/ Hotcourses
Jordan,IGEC
Jordan,Oval Office
Jordan,StudyCo
Kazakhstan,Be Global
Kazakhstan,Human Capital Foundation Worldwide Education
Kazakhstan,iBridge LLP
Kazakhstan,QS StudentApply
Kazakhstan,StudyIn
Kenya,Crizac
Kenya,IDP UK aka IDP/ Hotcourses
Kenya,StudyIn
Kenya,UNISERV
Kosovo,StudyIn
Kuwait,Acceptix
Kuwait,AHZ Associates
Kuwait,Alshamlan Edu
Kuwait,Bridge International/Global Vision for Academic Services
Kuwait,Bridges International Knowledge For Education Consulting
Kuwait,Easy Apply
Kuwait,IDP UK aka IDP/ Hotcourses
Kuwait,JNS Education Consultant LTD
Kuwait,MEC Study Group
Kuwait,Prime Student
Kuwait,StudyCo
Kuwait,Studygram Worldwide Education
Kuwait,Ulearn Student Services
Laos,StudyIn
Latvia,Baltic Council
Latvia,Dream Foundation
Latvia,Kalba LT
Lebanon,Education Basket
Lebanon,Educom International Ltd.
Lebanon,EduKate Hub
Lebanon,Global Study UK
Lebanon,IDP UK aka IDP/ Hotcourses
Lebanon,StudyCo
Libya,AA UNIlink Edu Services Ltd
Libya,StudyCo
Lithuania,Baltic Council
Lithuania,Kalba LT
Macao,Vermilion Group Ltd
Malaysia,AECC Global
Malaysia,AUG Student Services
Malaysia,Bright Can-Achieve Limited
Malaysia,Crizac
Malaysia,Further Education
Malaysia,Global Education Alliance (GEA)
Malaysia,IDP UK aka IDP/ Hotcourses
Malaysia,Index
Malaysia,Interstudy Education Consultants HQ
Malaysia,JM Education Group
Malaysia,Liu Cheng International Group Ltd
Malaysia,Mabecs
Malaysia,Market Management Services
Malaysia,QS Student Apply
Malaysia,StudyCo
Malaysia,StudyIn
Malaysia,Sun Education Group
Malaysia,Taylor's Malaysia Sdn Bhd
Malaysia,TEDvisory SDN BHD
Malaysia,UKEC Malaysia
Mauritius,Campus Abroad
Mauritius,IDP UK aka IDP/ Hotcourses
Mauritius,OVEC (Overseas Education Centre)
Mauritius,UNISERV
Mexico,Academic Action
Mexico,Across the Pond
Mexico,Inova Education
Mexico,LAE International Education
Mexico,Love UK
Mexico,Studies Planet
Mexico,StudyIn
Mexico,Volemi SAS
Morocco,AHZ Associates
Morocco,Global Study UK
Morocco,Delphi Education Ltd
Morocco,StudyCo
Morocco,StudyIn
Morocco,The English Company
Myanmar,Expert Education and Visa Services
Myanmar,"Regent Consultancy Services Co, Ltd"
Myanmar,SafeNet Education Consultancy & Services
Myanmar,Thymes International
Nepal,AECC Global
Nepal,AHZ Associates
Nepal,Crizac
Nepal,IDP UK aka IDP/ Hotcourses
Nepal,KC Overseas (Krishna Consultants)
Nepal,Real Dreams Consultancy Services Ltd
Nepal,StudyCo
Nepal,StudyIn
Netherlands,Information Planet Pty Ltd
Netherlands,Studyportals
New Zealand,LAE International Education
Nigeria,AA UNIlink Edu Services Ltd
Nigeria,AECC Global
Nigeria,AHZ Associates
Nigeria,ApplyBoard
Nigeria,Bacobs and New Generations Ltd
Nigeria,Bridge House College
Nigeria,Crizac
Nigeria,Glory Education Services Ltd
Nigeria,IDP UK aka IDP/ Hotcourses
Nigeria,NUBI Education Counselling
Nigeria,Rien Links Ventures
Nigeria,Ronald and Partners
Nigeria,QS Student Apply
Nigeria,Strategic Offshore Placements
Nigeria,Study Advisory Services LTD
Nigeria,StudyCo
Nigeria,StudyIn
Nigeria,Studyvisa International Limited
Nigeria,Westminster International
Nigeria,Wisdomite Ventures
Norway,Across the Pond
Oman,Al Ahlam Higher Education Services
Oman,Bridge International/Global Vision for Academic Services
Oman,Global Study UK
Oman,IDP UK aka IDP/ Hotcourses
Oman,StudyCo
Pakistan,Aaryans Services Pvt Ltd
Pakistan,Ability Education
Pakistan,ABN Overseas Education (Pvt.) Ltd.
Pakistan,ACS Education
Pakistan,Adiuvo Consultants
Pakistan,AEO Pakistan
Pakistan,AHZ Associates
Pakistan,ApplyBoard
Pakistan,AS Education Service
Pakistan,Auspak International
Pakistan,Buzzers
Pakistan,Colleges Pro
Pakistan,D'Educationist PVT LTD
Pakistan,Edify Consulting
Pakistan,Edmentium
Pakistan,Education Resources Network
Pakistan,Edwise Education Pakistan
Pakistan,Emerging Visions
Pakistan,Fahim Abbasi
Pakistan,FES Higher Education Consultants Pvt. Ltd.
Pakistan,FM Consultants
Pakistan,HR Consultants (Pvt) Ltd
Pakistan,IDP UK aka IDP/ Hotcourses
Pakistan,JNS Education Consultant LTD
Pakistan,Liu Cheng International Group Ltd
Pakistan,MA Consultants
Pakistan,MR Consultants
Pakistan,Naseem Khan Consultancy
Pakistan,Reach the Globe
Pakistan,StudyCo
Pakistan,StudyIn
