agent_name,source_page,country,city,emails,phones
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,UK,Sydney,,"400-1010-123; 5 7 9 1 5; 2026.03.31; 2025.10.14; 2025-2026; 2025.9.23; 2025.10.16; 2026.06.04; 2026.06.04 27; 2026.06.03; 2026.06.03 2026; 2026.06.02; 2025-12-18; 2025-03-04; 2026-01-29; 2026-02-13; 2025-07-01; 2025-01-20; 2025-05-02; 2025-04-09; 2025-08-28; 2025-08-25; 2025-03-22; 2025-05-01; 2025-03-27; 2025-08-22; 2025-08-01; 2025-05-30; 2025-07-17; 2025-05-08; 2025-08-29; 2025-06-23; 2025-06-03; 2025-05-22; 2025-07-16; 2025-07-15; 2025-05-16; 2025-06-05; 2025-06-15; 2025-06-01; 2025-07-24; 2025-08-02; 2025-06-27; 2025-05-09; 2025-07-09; 2025-05-04; 2025-06-02; 2025-06-19; 2025-09-05; 2025-08-26; 2025-08-18; 2025-06-13; 2025-26; 500-550; 425-550; 425-500; 60-75

3; 40-50

4; 00 400-1010-123; 1860086; 01059992; 400-002-9550; 952928233; 2003-2026; 2022002161; 37010202002903"
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,UK,Sydney,,"400-1010-123; 5 7 9 1 5; 2026.03.31; 2025.10.14; 2025-2026; 2025.9.23; 2025.10.16; 2026.06.04; 2026.06.04 27; 2026.06.03; 2026.06.03 2026; 2026.06.02; 2025-12-18; 2025-03-04; 2026-01-29; 2026-02-13; 2025-07-01; 2025-01-20; 2025-05-02; 2025-04-09; 2025-08-28; 2025-08-25; 2025-03-22; 2025-05-01; 2025-03-27; 2025-08-22; 2025-08-01; 2025-05-30; 2025-07-17; 2025-05-08; 2025-08-29; 2025-06-23; 2025-06-03; 2025-05-22; 2025-07-16; 2025-07-15; 2025-05-16; 2025-06-05; 2025-06-15; 2025-06-01; 2025-07-24; 2025-08-02; 2025-06-27; 2025-05-09; 2025-07-09; 2025-05-04; 2025-06-02; 2025-06-19; 2025-09-05; 2025-08-26; 2025-08-18; 2025-06-13; 2025-26; 500-550; 425-550; 425-500; 60-75

3; 40-50

4; 00 400-1010-123; 1860086; 01059992; 400-002-9550; 952928233; 2003-2026; 2022002161; 37010202002903"
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,,400-1010-123
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,UK,Sydney,,"5 7 9 1 5; 2026.03.31; 2025.10.14; 2025-2026; 2025.9.23; 2025.10.16; 2026.06.04; 2026.06.04 27; 2026.06.03; 2026.06.03 2026; 2026.06.02; 400-1010-123; 2025-12-18; 2025-03-04; 2026-01-29; 2026-02-13; 2025-07-01; 2025-01-20; 2025-05-02; 2025-04-09; 2025-08-28; 2025-08-25; 2025-03-22; 2025-05-01; 2025-03-27; 2025-08-22; 2025-08-01; 2025-05-30; 2025-07-17; 2025-05-08; 2025-08-29; 2025-06-23; 2025-06-03; 2025-05-22; 2025-07-16; 2025-07-15; 2025-05-16; 2025-06-05; 2025-06-15; 2025-06-01; 2025-07-24; 2025-08-02; 2025-06-27; 2025-05-09; 2025-07-09; 2025-05-04; 2025-06-02; 2025-06-19; 2025-09-05; 2025-08-26; 2025-08-18; 2025-06-13; 2025-26; 500-550; 425-550; 425-500; 60-75

3; 40-50

4"
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,,5 7 9 1 5
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,,5 7 9 1 5
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,,2026.03.31; 2025.10.14; 2025-2026; 2025.9.23; 2025.10.16
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,,2026.03.31; 2025.10.14; 2025-2026; 2025.9.23; 2025.10.16
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,,2026.03.31; 2025.10.14; 2025-2026; 2025.9.23; 2025.10.16
Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,,2026.03.31; 2025.10.14; 2025-2026; 2025.9.23; 2025.10.16
