country,agency_name,website,email,phone,address
Afghanistan,British Council Office,https://www.britishcouncil.org,,,
Afghanistan,Global Vision for Academic Services,,,,
Afghanistan,Integral Work and Travel Ltd,,,,
Afghanistan,International Sporting Solutions Ltd,https://www.internationalsportingsolutions.com,,,United Kingdom
Afghanistan,StudyIn,https://www.studyin-uk.com,,,
Afghanistan,Acceptix,https://www.acceptix.com,,,
Afghanistan,AHZ Associates,https://www.ahzassociates.com,info@ahzassociates.co.uk,,"London, United Kingdom"
Afghanistan,Crizac Ltd (Gateway Abroad),https://www.crizac.co.uk,,,United Kingdom
Afghanistan,Edvoy Educational Services Ltd.,https://www.edvoy.com,,,United Kingdom
Afghanistan,Global Study UK,https://www.globalstudyuk.com,,,
Afghanistan,AUG Study Services,https://www.aug.edu,,,
Afghanistan,LCI Group (Liu Cheng International Group Ltd),https://www.lcieducation.com,,,
Afghanistan,IDP Education (UK) Limited,https://www.idp.com,ukclientpartnerships@idp.com,+61-3-9612-4400,"69-79 Fulham High Street, London SW6 3JW, UK"
Afghanistan,Education Zone,,,,
Afghanistan,Elebda'a,,,,
Afghanistan,Future Graduates Ltd,,,,
Afghanistan,JNS Ltd T/A JNS Education Consultant,,,,
Afghanistan,AECC Global,https://www.aeccglobal.com,clientrelations@aeccglobal.com,+61-481739343,"20 Queen Street, Melbourne, Victoria 3000, Australia"
Afghanistan,IECC trading as Campora,https://www.campora.co.uk,,,
Afghanistan,KC Overseas Education Pvt. Ltd.,https://www.kcoverseas.com,,,
Afghanistan,Leap GeeBee Edtech Pvt. Ltd,https://www.geebee.com,,,
Afghanistan,Global Education Alliance Limited,,,,
Afghanistan,James Hon Marketing and Management,,,,
Afghanistan,QS StudentApply,https://www.qs.com,,,
Afghanistan,Asia Star Education,,,,
Afghanistan,Expert Education and Visa Services,,,,
Afghanistan,Springboard4Education,,,,
Afghanistan,Aceleader Education Group Pty. Ltd.,,,,
Afghanistan,Amber Education Services Ltd,https://www.ambereducation.co.uk,,,
Afghanistan,"Beijing Aus-Canada Education Consulting CO., Ltd",,,,
Afghanistan,Beijing New Oriental Vision Overseas Consulting Co,,,,
Afghanistan,Bright Can-Achieve Limited,,,,
Afghanistan,Changzhou Shiyan Study Abroad Information Consultation Studio,,,,
Afghanistan,Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,China
Afghanistan,Global Study Abroad Pte Ltd,,,,Singapore
Afghanistan,Golden Arrow Overseas Consulting,,,,
Afghanistan,Huatong Xinnuo International Cultural Exchange Centre (IAE),,,,
Afghanistan,iHorizon Group (HK),,,,
Afghanistan,Index Education Services,,,,
Afghanistan,InterGreat Education Group Ltd,https://www.intergreateducation.com,,,
Afghanistan,JJL International Education Exchange Promotion Ltd,,,,
Afghanistan,Nanjing Youwu Arts and Crafts Co. Ltd,,,,
Afghanistan,OxBridge Holdings Inc.,https://www.oxbridge.cn,,,China
Afghanistan,Power Academy,,,,
Afghanistan,Telfort Education Group,,,,
Afghanistan,UKEC,https://www.ukec.com,,,
Afghanistan,Savvides Institute,https://www.savvides.com.cy,,,Cyprus
Afghanistan,British Canadian International Education (BCIE),https://www.bcieglobal.com,,,
Afghanistan,One Education Consulting Company,,,,
Afghanistan,Aston Education,https://www.astonhongkong.com,info@aston.edu.hk,+852 2866 9933,"5th Floor, Office Plus @ Wanchai, 303 Hennessy Road, Wan Chai, Hong Kong"
Afghanistan,British United Education Services Ltd,,,,
Afghanistan,Admission Overseas Limited,,,,
Afghanistan,Career Bridge Consultants Pvt Ltd,,,,
Afghanistan,Edu Global Careers Pvt. Ltd.,,,,
Afghanistan,Edwise International LLP,https://www.edwiseinternational.com,,,
Afghanistan,IPC - International Placewell Consultants Pvt Ltd,https://www.ipcglobal.co.in,,,
Afghanistan,Right Path Career Counselling,,,,
Afghanistan,Santa Monica Study Abroad Pvt Ltd,,,,
Afghanistan,GoStudy International,https://www.gostudy.co.id,,,Indonesia
Afghanistan,ICAN Education,https://www.icaneducation.co.id,,,
Afghanistan,JACK Study Abroad,,,,Indonesia
Afghanistan,Yes Education Group,,,,Indonesia
Afghanistan,"EDUCATION TOWER (TRADING AS BEO, HANDS ON & HANDS ON-BEO)",,,,
Afghanistan,GESCO,,,,
Afghanistan,Uniserv Education,https://www.uniserv.co.ke,,,Kenya
Afghanistan,Easy Apply Education Consultancy,,,,
Afghanistan,Navita EDU for Academic Consultancy (Formerly Alshamlan EDU),,,,
Afghanistan,Prime Student Services,,,,
Afghanistan,ULearn Study Abroad,,,,
Afghanistan,Four Seas Tours & Marketing T/A Four Seas Education Services,,,,
Afghanistan,Broad Vision Consultancy,,,,
Afghanistan,Easy Study Solutions,,,,
Afghanistan,Educare Global Academy,,,,
Afghanistan,GES Global Educational Services,,,,
Afghanistan,Inquota Education Services (IES) Sdn Bhd,,,,
Afghanistan,Interstudy Education Consultants Sdn Bhd,,,,
Afghanistan,INTI Universal Holdings Sdn Bhd,https://www.inti.edu.my,,,"Nilai, Negeri Sembilan, Malaysia"
Afghanistan,JM Education Group Sdn. Bhd.,,,,
Afghanistan,KC Edu Services,,,,
Afghanistan,MABECS,https://www.mabecs.com,,,
Afghanistan,Selset Education Centre Sdn. Bhd.,,,,
Afghanistan,Silver Education Consultancy & Placement,,,,
Afghanistan,Taylor's Malaysia Sdn Bhd,https://www.taylors.edu.my,,,"1 Jalan Taylor's, 47500 Subang Jaya, Selangor, Malaysia"
Afghanistan,BuZZ International (Private) Limited,,,,
Afghanistan,CROWN Education (Thailand) Co. Ltd,,,,Thailand
Afghanistan,Global Study Partners Pty Ltd trading as upGrad GSP,https://www.upgradgsp.com,,,Australia
Afghanistan,International Education Services Pte Ltd,,,,
Afghanistan,Regent Consultancy Services Co. Ltd,,,,
Afghanistan,SafeNet Education Consultancy & Services,,,,
Afghanistan,UniConsultants Alliance,,,,
Afghanistan,Assumpta Overseas Educational Services Ltd,,,,
Afghanistan,Baltidon Consulting,,,,
Afghanistan,BDM Consultancy Services,,,,
Afghanistan,Binea Education Limited,,,,
Afghanistan,BMT Initiative Limited,,,,
Afghanistan,Clarity Education Limited,,,,
Afghanistan,Diptot International Education Consult Ltd,,,,
Afghanistan,Gateway Career Services (GCS Education),,,,
Afghanistan,Kelmaa Career Path Consult Ltd,,,,
Afghanistan,Midstrom Ridge Limited,,,,
Afghanistan,Movia Educational Services,,,,
Afghanistan,Narrowhill International,,,,
Afghanistan,Royal Hill Global Services (Purple Crest),,,,
Afghanistan,Skytop Services,,,,
Afghanistan,Study Abroad Services,,,,
Afghanistan,Study Across Globe Ltd,,,,
Afghanistan,TG Marchnata (TGM Education),,,,
Afghanistan,Visagate Consulting (VGC) Int'l Education,,,,
Afghanistan,WIN Education,,,,Nigeria
Afghanistan,Al Ahlam Higher Education Services,,,,
Afghanistan,RMT Enterprises,,,,
Afghanistan,OverseasEducation.sg Pte Ltd,,,,
Afghanistan,Glox Edu Consultancy,,,,
Afghanistan,Wisdom Business Academy,,,,
Afghanistan,British Academic Center,,,,
Afghanistan,GREAT Education Consultant Co Ltd,,,,
Afghanistan,Edukas Educational Consultancy,,,,
Afghanistan,Education Care Limited,,,,
Afghanistan,Hands On - BEO,,,,
Afghanistan,HNG Education Company Limited,,,,
Afghanistan,Intellectual Development Company (INDEC),,,,
Afghanistan,ISC Education Joint Stock Company,,,,
Afghanistan,London College for Design & Fashion,,,,
Afghanistan,PASSEDU EDUCATION AND CONSULTANCY COMPANY LIMITED,,,,
Afghanistan,Sunrise Vietnam Co. Ltd,,,,
Afghanistan,Vietint Education Joint Stock Company,,,,
Afghanistan,Vuong Anh Education Limited Company,,,,
Albania,British Council Office,https://www.britishcouncil.org,,,
Albania,Global Vision for Academic Services,,,,
Albania,Integral Work and Travel Ltd,,,,
Albania,International Sporting Solutions Ltd,https://www.internationalsportingsolutions.com,,,United Kingdom
Albania,StudyIn,https://www.studyin-uk.com,,,
Albania,Acceptix,https://www.acceptix.com,,,
Albania,AHZ Associates,https://www.ahzassociates.com,info@ahzassociates.co.uk,,"London, United Kingdom"
Albania,Crizac Ltd (Gateway Abroad),https://www.crizac.co.uk,,,United Kingdom
Albania,Edvoy Educational Services Ltd.,https://www.edvoy.com,,,United Kingdom
Albania,Global Study UK,https://www.globalstudyuk.com,,,
Albania,AUG Study Services,https://www.aug.edu,,,
Albania,LCI Group (Liu Cheng International Group Ltd),https://www.lcieducation.com,,,
Albania,IDP Education (UK) Limited,https://www.idp.com,ukclientpartnerships@idp.com,+61-3-9612-4400,"69-79 Fulham High Street, London SW6 3JW, UK"
Albania,Education Zone,,,,
Albania,Elebda'a,,,,
Albania,Future Graduates Ltd,,,,
Albania,JNS Ltd T/A JNS Education Consultant,,,,
Albania,AECC Global,https://www.aeccglobal.com,clientrelations@aeccglobal.com,+61-481739343,"20 Queen Street, Melbourne, Victoria 3000, Australia"
Albania,IECC trading as Campora,https://www.campora.co.uk,,,
Albania,KC Overseas Education Pvt. Ltd.,https://www.kcoverseas.com,,,
Albania,Leap GeeBee Edtech Pvt. Ltd,https://www.geebee.com,,,
Albania,Global Education Alliance Limited,,,,
Albania,James Hon Marketing and Management,,,,
Albania,QS StudentApply,https://www.qs.com,,,
Albania,Asia Star Education,,,,
Albania,Expert Education and Visa Services,,,,
Albania,Springboard4Education,,,,
Albania,Aceleader Education Group Pty. Ltd.,,,,
Albania,Amber Education Services Ltd,https://www.ambereducation.co.uk,,,
Albania,"Beijing Aus-Canada Education Consulting CO., Ltd",,,,
Albania,Beijing New Oriental Vision Overseas Consulting Co,,,,
Albania,Bright Can-Achieve Limited,,,,
Albania,Changzhou Shiyan Study Abroad Information Consultation Studio,,,,
Albania,Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,China
Albania,Global Study Abroad Pte Ltd,,,,Singapore
Albania,Golden Arrow Overseas Consulting,,,,
Albania,Huatong Xinnuo International Cultural Exchange Centre (IAE),,,,
Albania,iHorizon Group (HK),,,,
Albania,Index Education Services,,,,
Albania,InterGreat Education Group Ltd,https://www.intergreateducation.com,,,
Albania,JJL International Education Exchange Promotion Ltd,,,,
Albania,Nanjing Youwu Arts and Crafts Co. Ltd,,,,
Albania,OxBridge Holdings Inc.,https://www.oxbridge.cn,,,China
Albania,Power Academy,,,,
Albania,Telfort Education Group,,,,
Albania,UKEC,https://www.ukec.com,,,
Albania,Savvides Institute,https://www.savvides.com.cy,,,Cyprus
Albania,British Canadian International Education (BCIE),https://www.bcieglobal.com,,,
Albania,One Education Consulting Company,,,,
Albania,Aston Education,https://www.astonhongkong.com,info@aston.edu.hk,+852 2866 9933,"5th Floor, Office Plus @ Wanchai, 303 Hennessy Road, Wan Chai, Hong Kong"
Albania,British United Education Services Ltd,,,,
Albania,Admission Overseas Limited,,,,
Albania,Career Bridge Consultants Pvt Ltd,,,,
Albania,Edu Global Careers Pvt. Ltd.,,,,
Albania,Edwise International LLP,https://www.edwiseinternational.com,,,
Albania,IPC - International Placewell Consultants Pvt Ltd,https://www.ipcglobal.co.in,,,
Albania,Right Path Career Counselling,,,,
Albania,Santa Monica Study Abroad Pvt Ltd,,,,
Albania,GoStudy International,https://www.gostudy.co.id,,,Indonesia
Albania,ICAN Education,https://www.icaneducation.co.id,,,
Albania,JACK Study Abroad,,,,Indonesia
Albania,Yes Education Group,,,,Indonesia
Albania,"EDUCATION TOWER (TRADING AS BEO, HANDS ON & HANDS ON-BEO)",,,,
Albania,GESCO,,,,
Albania,Uniserv Education,https://www.uniserv.co.ke,,,Kenya
Albania,Easy Apply Education Consultancy,,,,
Albania,Navita EDU for Academic Consultancy (Formerly Alshamlan EDU),,,,
Albania,Prime Student Services,,,,
Albania,ULearn Study Abroad,,,,
Albania,Four Seas Tours & Marketing T/A Four Seas Education Services,,,,
Albania,Broad Vision Consultancy,,,,
Albania,Easy Study Solutions,,,,
Albania,Educare Global Academy,,,,
Albania,GES Global Educational Services,,,,
Albania,Inquota Education Services (IES) Sdn Bhd,,,,
Albania,Interstudy Education Consultants Sdn Bhd,,,,
Albania,INTI Universal Holdings Sdn Bhd,https://www.inti.edu.my,,,"Nilai, Negeri Sembilan, Malaysia"
Albania,JM Education Group Sdn. Bhd.,,,,
Albania,KC Edu Services,,,,
Albania,MABECS,https://www.mabecs.com,,,
Albania,Selset Education Centre Sdn. Bhd.,,,,
Albania,Silver Education Consultancy & Placement,,,,
Albania,Taylor's Malaysia Sdn Bhd,https://www.taylors.edu.my,,,"1 Jalan Taylor's, 47500 Subang Jaya, Selangor, Malaysia"
Albania,BuZZ International (Private) Limited,,,,
Albania,CROWN Education (Thailand) Co. Ltd,,,,Thailand
Albania,Global Study Partners Pty Ltd trading as upGrad GSP,https://www.upgradgsp.com,,,Australia
Albania,International Education Services Pte Ltd,,,,
Albania,Regent Consultancy Services Co. Ltd,,,,
Albania,SafeNet Education Consultancy & Services,,,,
Albania,UniConsultants Alliance,,,,
Albania,Assumpta Overseas Educational Services Ltd,,,,
Albania,Baltidon Consulting,,,,
Albania,BDM Consultancy Services,,,,
Albania,Binea Education Limited,,,,
Albania,BMT Initiative Limited,,,,
Albania,Clarity Education Limited,,,,
Albania,Diptot International Education Consult Ltd,,,,
Albania,Gateway Career Services (GCS Education),,,,
Albania,Kelmaa Career Path Consult Ltd,,,,
Albania,Midstrom Ridge Limited,,,,
Albania,Movia Educational Services,,,,
Albania,Narrowhill International,,,,
Albania,Royal Hill Global Services (Purple Crest),,,,
Albania,Skytop Services,,,,
Albania,Study Abroad Services,,,,
Albania,Study Across Globe Ltd,,,,
Albania,TG Marchnata (TGM Education),,,,
Albania,Visagate Consulting (VGC) Int'l Education,,,,
Albania,WIN Education,,,,Nigeria
Albania,Al Ahlam Higher Education Services,,,,
Albania,RMT Enterprises,,,,
Albania,OverseasEducation.sg Pte Ltd,,,,
Albania,Glox Edu Consultancy,,,,
Albania,Wisdom Business Academy,,,,
Albania,British Academic Center,,,,
Albania,GREAT Education Consultant Co Ltd,,,,
Albania,Edukas Educational Consultancy,,,,
Albania,Education Care Limited,,,,
Albania,Hands On - BEO,,,,
Albania,HNG Education Company Limited,,,,
Albania,Intellectual Development Company (INDEC),,,,
Albania,ISC Education Joint Stock Company,,,,
Albania,London College for Design & Fashion,,,,
Albania,PASSEDU EDUCATION AND CONSULTANCY COMPANY LIMITED,,,,
Albania,Sunrise Vietnam Co. Ltd,,,,
Albania,Vietint Education Joint Stock Company,,,,
Albania,Vuong Anh Education Limited Company,,,,
Algeria,British Council Office,https://www.britishcouncil.org,,,
Algeria,Global Vision for Academic Services,,,,
Algeria,Integral Work and Travel Ltd,,,,
Algeria,International Sporting Solutions Ltd,https://www.internationalsportingsolutions.com,,,United Kingdom
Algeria,StudyIn,https://www.studyin-uk.com,,,
Algeria,Acceptix,https://www.acceptix.com,,,
Algeria,AHZ Associates,https://www.ahzassociates.com,info@ahzassociates.co.uk,,"London, United Kingdom"
Algeria,Crizac Ltd (Gateway Abroad),https://www.crizac.co.uk,,,United Kingdom
Algeria,Edvoy Educational Services Ltd.,https://www.edvoy.com,,,United Kingdom
Algeria,Global Study UK,https://www.globalstudyuk.com,,,
Algeria,AUG Study Services,https://www.aug.edu,,,
Algeria,LCI Group (Liu Cheng International Group Ltd),https://www.lcieducation.com,,,
Algeria,IDP Education (UK) Limited,https://www.idp.com,ukclientpartnerships@idp.com,+61-3-9612-4400,"69-79 Fulham High Street, London SW6 3JW, UK"
Algeria,Education Zone,,,,
Algeria,Elebda'a,,,,
Algeria,Future Graduates Ltd,,,,
Algeria,JNS Ltd T/A JNS Education Consultant,,,,
Algeria,AECC Global,https://www.aeccglobal.com,clientrelations@aeccglobal.com,+61-481739343,"20 Queen Street, Melbourne, Victoria 3000, Australia"
Algeria,IECC trading as Campora,https://www.campora.co.uk,,,
Algeria,KC Overseas Education Pvt. Ltd.,https://www.kcoverseas.com,,,
Algeria,Leap GeeBee Edtech Pvt. Ltd,https://www.geebee.com,,,
Algeria,Global Education Alliance Limited,,,,
Algeria,James Hon Marketing and Management,,,,
Algeria,QS StudentApply,https://www.qs.com,,,
Algeria,Asia Star Education,,,,
Algeria,Expert Education and Visa Services,,,,
Algeria,Springboard4Education,,,,
Algeria,Aceleader Education Group Pty. Ltd.,,,,
Algeria,Amber Education Services Ltd,https://www.ambereducation.co.uk,,,
Algeria,"Beijing Aus-Canada Education Consulting CO., Ltd",,,,
Algeria,Beijing New Oriental Vision Overseas Consulting Co,,,,
Algeria,Bright Can-Achieve Limited,,,,
Algeria,Changzhou Shiyan Study Abroad Information Consultation Studio,,,,
Algeria,Education International Cooperation (EIC) Group Limited,https://www.eic.org.cn,,,China
Algeria,Global Study Abroad Pte Ltd,,,,Singapore
Algeria,Golden Arrow Overseas Consulting,,,,
Algeria,Huatong Xinnuo International Cultural Exchange Centre (IAE),,,,
Algeria,iHorizon Group (HK),,,,
