country,agent_name,detail,website,email,phone,address
Albania,SI-UK,"Rruga Moskat, Zayeb Business Center, K.2 Tirana, Albania 1001 Phone: +355 67 400 5360 Email: tirana@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,tirana@studyin-uk.com,+355 67 400 5360,"Rruga Moskat, Zayeb Business Center, K.2 Tirana, Albania 1001"
Australia,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Australia,QS Student Apply,Phone: +44 (0) 207 284 7200 Website: www.qs.com,www.qs.com,,+44 (0) 207 284 7200,
Azerbaijan,SI-UK,"Haydar Aliyev Prospekti 152 Çinar Plaza İş Merkezi A Blok 4.Kat 64m Bakü, Azerbaycan Phone: +994 12 408 23 03 (Landline), +994 55 408 23 03 (Mobile) Email: baku@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,baku@studyin-uk.com,+994 12 408 23 03,"Haydar Aliyev Prospekti 152 Çinar Plaza İş Merkezi A Blok 4.Kat 64m Bakü, Azerbaycan (Landline), +994 55 408 23 03 (Mobile)"
Azerbaijan,Study Net,Phone: +994 (055) 918 93 93 Email: edu@studynet-group.com Website: www.studynet-group.com,www.studynet-group.com,edu@studynet-group.com,+994 (055) 918 93 93,
Bahrain,Global Study UK,Phone: +4402074864762 Email: app@globalstudyuk.com Website: www.globalstudyuk.com,www.globalstudyuk.com,app@globalstudyuk.com,+4402074864762,
Bahrain,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Bangladesh,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Bangladesh,SI-UK,"Flat 10/B, 9 th Floor (Level-10), Rupsha Tower, Road # 17, Kamal Ataturk Avenue, Banani C/A, Dhaka-1213 Phone: +880 195 1221133 Email: dhaka@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,dhaka@studyin-uk.com,+880 195 1221133,"Flat 10/B, 9 th Floor (Level-10), Rupsha Tower, Road # 17, Kamal Ataturk Avenue, Banani C/A, Dhaka-1213"
Brazil,Gradeup Education Consultancy,Phone/WhatsApp: +55 11 91837-1750 Email: info@gradeup.com.br Website: www.gradeup.com.br,www.gradeup.com.br,info@gradeup.com.br,+55 11 91837-1750,Phone/WhatsApp:
Brazil,LoveEDU (loveUK Brazil),Phone: +55 11 93063-7967 Website: www.loveedu.com.br,www.loveedu.com.br,,+55 11 93063-7967,
Brazil,Studies Planet,Phone: (+55) 11 96623 – 9696 Email: brasil@studiesplanet.com Website: www.studiesplanet.com,www.studiesplanet.com,brasil@studiesplanet.com,+55) 11 96623,( – 9696
Bulgaria,Integral Educational Programs Ltd (IEP),Phone: 02/80 50 600 Email: integral@integral.bg Website: www.integral.bg,www.integral.bg,integral@integral.bg,80 50 600,02/
Cambodia,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Cambodia,SI - UK,Phone: +855 (0)17663006 Email: phnompenh@si-global.com Website: www.studyin-uk.com,www.studyin-uk.com,phnompenh@si-global.com,+855 (0)17663006,
Canada,IAE,Phone: +81 (0)3 6871 9422 Email: info@iaeglobal.net Website: www.iaeglobal.net,www.iaeglobal.net,info@iaeglobal.net,+81 (0)3 6871 9422,
Canada,IDP,Website: www.idp.com/global,www.idp.com/global,,,
Canada,SI-UK,"Suite 300,150 King Street West Toronto, Ontario M5H 1J9, Canada Phone: +1 416 998 8532 Email: toronto@studyin-uk.com Website: www.studyin-uk.com",www.studyin-uk.com,toronto@studyin-uk.com,+1 416 998 8532,"Suite 300,150 King Street West Toronto, Ontario M5H 1J9, Canada"
Canada,SI-UK,Phone: +1 (403) 244 - 3809 Email: alberta@studyin-uk.com Website: www.studyin-uk.com,www.studyin-uk.com,alberta@studyin-uk.com,+1 (403) 244 - 3809,
Canada,Uni-UK,Phone: 1-855-580-2787 Email: info@uni-uk.com Website: www.uni-uk.com,www.uni-uk.com,info@uni-uk.com,1-855-580-2787,
Chile,Inova Education,WhatsApp: api.whatsapp.com/send/?phone=447754475500 Website: inovaeducation.com/country/chile/,,,447754475500,WhatsApp: api.whatsapp.com/send/?phone= inovaeducation.com/country/chile/
China,51Liucheng,Email: hezuo@51liucheng.com Website: www.lcig.io,www.lcig.io,hezuo@51liucheng.com,,
China,51 offer (iHorizon),Email: 51offer@ihorizon.cn Website: www.51offer.com,www.51offer.com,51offer@ihorizon.cn,,
China,Amber Education,Phone: 86 010 65661010 Email: bj_ac1@amberedu.com Website: www.amberedu.com,www.amberedu.com,bj_ac1@amberedu.com,86 010 65661010,
China,AOJI,Phone: +8610-6522 9780 Email: marketing.uk@aoji.cn Website: www.aoji.cn,www.aoji.cn,marketing.uk@aoji.cn,+8610-6522 9780,
China,Beijing New Oriental Vision Overseas Consulting Co Ltd,Email: uk@xdf.cn Website: liuxue.xdf.cn,,uk@xdf.cn,,liuxue.xdf.cn
China,Bright Can-Achieve,Phone: 86 18911793599 Email: ukedu6@can-achieve.com Website: www.can-achieve.com,www.can-achieve.com,ukedu6@can-achieve.com,86 18911793599,
China,Chamberlain,Phone: +(852) 3426-8000 Email: enquiry@chamberlain-edu.com Website: www.chamberlain-edu.com,www.chamberlain-edu.com,enquiry@chamberlain-edu.com,852) 3426-8000,+(
China,EIC,Phone: 852-2736-0036 Email: uk.admission18@eiceducation.com.cn Website : www.partners.eic.org.cn,www.partners.eic.org.cn,uk.admission18@eiceducation.com.cn,852-2736-0036,Website :
China,Golden Arrow (UK Pass),Phone: 4000-800-516 Email: goldenarrowks@ukpass.org,,goldenarrowks@ukpass.org,4000-800-516,
China,Hope Study Abroad,Phone: 021-33634525 Website: www.hope-studyabroad.com/en,www.hope-studyabroad.com/en,,021-33634525,
China,HTI,Phone: +86-21-51506887 Website: www.huatong.org.cn,www.huatong.org.cn,,+86-21-51506887,
China,IAE,Phone: +81 (0)3 6871 9422 Email: info@iaeglobal.net Website: www.iaeglobal.net,www.iaeglobal.net,info@iaeglobal.net,+81 (0)3 6871 9422,
China,IDP,Website: www.idp.com/global,www.idp.com/global,,,
China,Index Education,Phone: 86-021-32231071 Email: index_china@agentsedu.com Website: www.soweredu.com,www.soweredu.com,index_china@agentsedu.com,86-021-32231071,
China,JJL Overseas Education,Phone: 8610-65686524 Email: serviceuk12@jjl.cn Website: www.jjl.cn,www.jjl.cn,serviceuk12@jjl.cn,8610-65686524,
China,Oxbridge (Power Academy),Phone: +86-010-59799010 Email: edu@poweracademy.cn Website: www.poweracademy.cn,www.poweracademy.cn,edu@poweracademy.cn,+86-010-59799010,
China,Shinyway,Phone: +86 571 2886 2299 Website : www.igo.cn,www.igo.cn,,+86 571 2886 2299,Website :
China,SI-UK,"Room 704, Feidiao International Building, No. 1065 Zhaojiabang Road, Xuhui District Shanghai Phone: +86 13818109632 Email: shanghai@studyin-uk.cn Website: www.studyin-uk.com",www.studyin-uk.com,shanghai@studyin-uk.cn,+86 13818109632,"Room 704, Feidiao International Building, No. 1065 Zhaojiabang Road, Xuhui District Shanghai"
China,SI-UK,Phone: +86 15721283391 Email: beijing@studyin-uk.cn Website: www.studyin-uk.com,www.studyin-uk.com,beijing@studyin-uk.cn,+86 15721283391,
China,SI-UK,Phone: +86 13974886786 Email: changsha@studyin-uk.cn Website: www.studyin-uk.com,www.studyin-uk.com,changsha@studyin-uk.cn,+86 13974886786,
China,SI-UK,Phone: +86 18819277774 Email: guangzhou@studyin-uk.cn Website: www.studyin-uk.com,www.studyin-uk.com,guangzhou@studyin-uk.cn,+86 18819277774,
China,UKEC,"Regus, 16 Upper Woburn Pl, London WC1H 0AF United Kingdom Phone: 020 7383 2000 Email: admissions@ukec.com Website: www.ukec.com",www.ukec.com,admissions@ukec.com,020 7383 2000,"Regus, 16 Upper Woburn Pl, London WC1H 0AF United Kingdom"
